title,region,version,versiondate,crc32,status,notes,,,,,,,,,,,,,,,,,
Aaahh!!! Real Monsters,USA,Beta,1995-07-07,F4B44B82,Works,,,,,,,,,,,,,,,,,,
"Addams Family, The","USA, Europe",Beta,,2803A5CA,Works,,,,,,,,,,,,,,,,,,
Advanced Daisenryaku - Deutsch Dengeki Sakusen,Japan,Beta,1991-03-07,6CE17E36,Doesn't work,Blackscreen after logo,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-06,F05CF389,Has problems,No audio,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-10,D4F3A070,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-11,B5B5A290,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-18,6874142B,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-19,7002DA56,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-21,61F02F13,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-22,EB8236B2,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-24,253947F8,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-26,BC79F7EE,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-27,FDAC8190,Works,,,,,,,,,,,,,,,,,,
"Adventures of Batman & Robin, The",USA,Beta,1995-04-28,27A1524B,Works,,,,,,,,,,,,,,,,,,
Aero the Acro-Bat,Europe,Beta,,DCD14B10,Works,,,,,,,,,,,,,,,,,,
Akira,USA,Proto,,6D32D468,Has problems,no audio and no enemies,,,,,,,,,,,,,,,,,
Aladdin,USA,Beta,"August, 1993",8C60EF73,Works,,,,,,,,,,,,,,,,,,
Aladdin,USA,Beta Chicago C.E.S. Demo,1993-06-27,78110310,Works,,,,,,,,,,,,,,,,,,
Aladdin,Japan,Beta,1993-07-31,C4491714,Works,,,,,,,,,,,,,,,,,,
Andre Agassi Tennis,USA,Beta,"August, 1992",3BBF700D,Works,,,,,,,,,,,,,,,,,,
Arnold Palmer Tournament Golf,"USA, Europe",Beta -Rev A Sega Channel,1990-03-22,09B67C70,Works,,,,,,,,,,,,,,,,,,
Art Alive,World,Beta,1991-09-20,952C0375,Works,,,,,,,,,,,,,,,,,,
Art of Fighting,USA,Beta,1994-07-11,19CE567D,Works,,,,,,,,,,,,,,,,,,
Asterix and the Power of the Gods,Europe,Beta,"February, 1994",45C8B5B7,Unplayable,Nothing but Screen Barf,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-05-09,B17A8DBC,Works,,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-07-19,CB927488,Works,,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-07-23,A15D5051,Works,,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-08-02,686A9FA1,Works,,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-08-05,A1FEF967,Works,,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-08-08,E6398864,Works,,,,,,,,,,,,,,,,,,
ATP Tour Championship Tennis,USA,Beta,1994-09-08,B83F4CA4,Works,,,,,,,,,,,,,,,,,,
Awesome Possum Kicks Dr Machino's Butt!,USA,Beta,,0158DC53,Works,,,,,,,,,,,,,,,,,,
B.O.B.,"USA, Europe",Beta,"October, 1992",E3E8421E,Works,,,,,,,,,,,,,,,,,,
Baby Boom,USA,Proto,1994-08-11,BD697054,Works,,,,,,,,,,,,,,,,,,
Baby Boom,USA,Proto,1994-06-06,6E0CF48D,Works,,,,,,,,,,,,,,,,,,
Baby Boom,USA,Proto,1994-06-03,C0D97F6F,Works,,,,,,,,,,,,,,,,,,
Baby's Day Out,USA,Proto,"August, 1994",B2E7CC49,Has problems,No Audio,,,,,,,,,,,,,,,,,
Baby's Day Out,USA,Proto,"February, 1995",459B891C,Has problems,No Audio,,,,,,,,,,,,,,,,,
Ballz 3D - Fighting at Its Ballziest ~ Ballz 3D - The Battle of the Ballz,"USA, Europe",Beta -Rev A,"September, 1994",D349AB90,Doesn't work,black screen,,,,,,,,,,,,,,,,,
Barbie Super Model,USA,Beta,1993-06-30,D4823175,Doesn't work,Locks up on gameplay,,,,,,,,,,,,,,,,,
Barbie Vacation Adventure,USA,Proto,,10E0BA69,Works,,,,,,,,,,,,,,,,,,
Bare Knuckle II,Unknown,Beta,,0CF2ACBE,Works,,,,,,,,,,,,,,,,,,
Bare Knuckle III,Japan,Beta,,E7FF99DB,Works,,,,,,,,,,,,,,,,,,
Barkley Shut Up and Jam 2,USA,Beta,,DE27357B,Works,,,,,,,,,,,,,,,,,,
Barney's Hide & Seek Game,USA,Beta,1993-09-18,19D9DC81,Works,,,,,,,,,,,,,,,,,,
Battle Mania,Japan,Beta,1991-05-28,BF0A017F,Works,,,,,,,,,,,,,,,,,,
Battle Squadron,"USA, Europe",Beta -Rev A Sega Channel,1991-01-18,43A76B45,Works,,,,,,,,,,,,,,,,,,
Beast Wrestler,Japan,Beta,1991-09-13,E8734E9C,Works,,,,,,,,,,,,,,,,,,
Beastball,Europe,Proto,,6A176576,Works,,,,,,,,,,,,,,,,,,
Beavis and Butt-Head,USA,Beta,,81ED5335,Doesn't work,black screen,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-03-23,BFBCD7CC,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-04-28,F222E946,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-04-29,E21493B4,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-06,713C14D8,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-11,F7B81C6A,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-19,07C9F71F,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-17,E1855ADE,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-23,913887B7,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-26,D33C0FA4,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-05-30,9C3BF429,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-06-02,83CF19E4,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-06-10,A748E2CF,Works,,,,,,,,,,,,,,,,,,
"Berenstain Bears' Camping Adventure, The",USA,Beta,1994-07-09,BF6AA405,Works,,,,,,,,,,,,,,,,,,
