title,region,version,crc32,status,notes
2006 Playoff Edition JN25,,,540A8A36,Works,Downscaled image,
30 Day Challenge,,,20245E64,Works,,
Abnormal Family - Butt Babies and Tranny Tramps,USA,a1,8EBEAC97,Works,,
Abnormal Family - Butt Babies and Tranny Tramps,USA,,81C0C868,Works,,
Adventures of Sky,,,C369C7C5,Works,,
Altered Beast Arcade Voice,USA,,7A92DC75,Works,,
Amy in Sonic 2 by E-122-Psi,,Bugfix,81D581F4,Works,,
Amy in Sonic 2 by E-122-Psi,,Rev1.0,BC72EC32,Works,,
Amy in Sonic 2 by E-122-Psi,,Rev1.1,EF3C0047,Works,,
Amy Rose in Sonic,,,B956F53B,Works,,
Amy Rose in Sonic 2,,,7169EE68,Works,,
Amy Rose in Sonic by E-122-Psi,,1.6,BC2A9A66,Works,,
Amy Rose in Sonic by Kilometers Prower,,a1,CD400A89,Works,,
Amy Rose in Sonic by Kilometers Prower,,t1,CEF4F815,Works,,
Amy Rose in Sonic by Kilometers Prower,,,4FFA1A5A,Works,,
Angry Birds,,,9E73551A,Works,,
ASCII Emperor by snkenjoi,,,C364556A,Works,,
Atomic Sonic,,,A026E1E1,Works,,
Atomic Sonic Home,,,89EDC597,Works,,
Atomic Sonic in Sonic 2 by snkenjoi,,,64F3F0DF,Works,,
Atomic Sonic Unleashed,,,2E66A576,Works,,
Bare Knuckle 3 Project,Japan,,1F5D3467,Works,Patch,
Bare Knuckle III,,v1.5,CAE98020,Works,,
Battletoads and Double Dragon by Krizal,,,7E168A09,Works,,
Battletoads and Double Dragon by Ti,,,A05B5E17,Works,,
Battletoads and Double Dragon L1,,,7DCC359A,Works,,
Battletoads RAMM,,,08D42B5F,Works,,
Battletoads Remastered,,,BC9299D1,Works,,
"Blue Blur, The",,,4E0C7737,Works,,
Blue Ring,,,FEC2550D,Works,,
Blue Sphere Plus Version 10 by MainMemory,,,DB7631F8,Works,,
Blue Sphere Plus Version 11 by MainMemory,,,25FAEEFE,Works,,
Blue Sphere Plus Version 4 by MainMemory,,,43AD2A73,Works,,
Blue Sphere Plus Version 7 by MainMemory,,,8530E446,Works,,
Blue Sphere Plus Version 8 by MainMemory,,,00C2F0C2,Works,,
Blue Sphere Plus Version 9 by MainMemory,,,88BADC90,Works,,
Blue Sphere Standalone ROM by MainMemory,,,D7BA508D,Works,,
Cactus Juice and Mustard,,,3C6B41AA,Works,,
Cave Story,World,v0.5.2,292080AE,Works,,
Cave Story,World,,416F1C1B,Works,,
CFL'95 V0.9,,,3CC0C029,Works,,
Chao Walker in Sonic by Oppolo,,t1,A27C88EB,Works,,
Chao Walker in Sonic by Oppolo,,,23726AA4,Works,,
Chaos Shards,,,30AC2E3C,Works,,
Charmy In Sonic 1,,,DC935428,Works,,
ChimpoQ!,,,59E82D67,Works,,
Chuck II - Girls,,,330255B8,Works,,
Code Gray,,,B875AE35,Works,,
Colourized End by Nemesis,,,D45B8EE4,Works,,
Contra - Hard Corps ULTRA HACK,,,71F56241,Works,,
Contra: Hard Corps Enhancement + Hit Points Restoration Hack,"USA, Korea",,85145C74,Works,,
"Cracko Coronicals, The",,,2DAFAE25,Doesn't work,E4: Please shutdown after title screen,
Crystal Guardians,,,EF24FE90,Doesn't work,E4: Please shutdown after title screen,
Crystal Guardians,,,92907DBF,Works,,
Darius,,,26CA4234,Works,,
Dark Sound The Hedgehog v2,,,438B0587,Works,,
Darka The Hedgehog,,,8B9718BE,Works,,
Darka the Hedgehog v0.1beta,,,05111DBA,Works,,
Deja Vu 2,,,FB98BAB6,Works,,
Disney's Abu V007,,,3E5A2B6A,Doesn't work,game loads but you are stuck,
Double Dragon,,,054F5D53,Works,,
Dr IKS,,,EF5C39A7,Works,,
Dust Hill 2.0,,,1CF80658,Has problems,No Audio,
Earthworm Jim Bare,,,591114D8,Works,,
Eggman in Sonic,,,F788776C,Doesn't work,E4: Please shutdown ,
Emerald Power V2.0 by Lost and Fiz,,,FB633776,Works,,
Espio the Chameleon,,,02AD7663,Works,,
Final Fight Streets of Rage 2 CROSSOVER,,,1E56E332,Doesn't work,Screen blacks out,
"Final Showdown, The v2.1 by Anthall",,,F97090C6,Works,,
Floaty Monitors by snkenjoi,,,0A51F083,Works,,
Fly with Tails in Sonic The Hedgehog 2 - V3 by JoseTB,,,71E053B2,Has problems,Super laggy on 2 players. E4: on reset,
